LeadID,LeadDateKey,CampaignKey,ChannelKey,SourceKey,RegionKey,AudienceKey,PreviousStatusKey,PreviousStatusLabel,CurrentStatusKey,CurrentStatusLabel,ReachedLead,ReachedMQL,ReachedSQL,ReachedOpportunity,ReachedClosedWon,IsClosedLost,IsClosedWon,PipelineAmount,RevenueAmount
L02836,20220202,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02915,20220202,15,1,2,3,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L00865,20220203,5,5,13,3,8,2.0,MQL,6,Closed Lost,1,1,0,0,0,1,0,0,0
L00913,20220203,5,5,13,4,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L02858,20220203,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L02977,20220203,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L03013,20220203,15,1,2,3,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L00893,20220204,5,5,13,4,8,1.0,Lead,6,Closed Lost,1,0,0,0,0,1,0,0,0
L03043,20220205,15,1,2,2,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
L01073,20220206,5,5,13,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03056,20220206,15,1,2,2,8,4.0,Opportunity,5,Closed Won,1,1,1,1,1,0,1,0,24334
L00954,20220208,5,5,13,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L01121,20220208,5,5,13,4,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02988,20220208,15,1,2,2,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L02862,20220209,15,1,2,3,8,,,1,Lead,1,0,0,0,0,0,0,0,0
L03053,20220209,15,1,2,3,8,3.0,SQL,6,Closed Lost,1,1,1,0,0,1,0,0,0
L03067,20220209,15,1,2,3,8,1.0,Lead,2,MQL,1,1,0,0,0,0,0,0,0
